City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Tacoronte,ES,28.4769,-16.4102,62.8,71,0,3.0,clear sky
239,Moba,CN,33.2288,105.0179,43.65,70,100,6.4,overcast clouds
240,Toora-Khem,RU,52.4675,96.11,5.7,58,75,3.74,broken clouds
241,Makakilo City,US,21.3469,-158.0858,77.32,69,1,3.44,clear sky
242,Astara,AZ,38.5,48.6667,46.38,63,92,3.04,overcast clouds
243,Northam,GB,51.0333,-4.2167,50.4,95,100,1.95,overcast clouds
244,Balkanabat,TM,39.5108,54.3671,50.31,29,6,1.7,clear sky
245,Ilam,NP,26.9167,87.9167,64.92,74,69,5.82,broken clouds
246,Asau,RO,46.4333,26.4,49.12,90,52,8.63,broken clouds
247,Hinton,CA,53.4001,-117.5857,21.24,87,100,6.53,overcast clouds
248,Shimoda,JP,34.6667,138.95,64.76,67,1,9.57,clear sky
249,Sorland,NO,67.667,12.6934,42.94,74,66,18.07,broken clouds
250,Pathalgaon,IN,22.5667,83.4667,79.25,57,55,2.66,broken clouds
251,Anaconda,US,46.1285,-112.9423,35.96,95,70,4.29,broken clouds
252,Mawlaik,MM,23.6333,94.4167,86.77,49,25,1.05,scattered clouds
253,Gushikawa,JP,26.3544,127.8686,78.39,67,1,14.97,clear sky
254,Bethanien,NA,-26.502,17.1583,71.47,22,5,4.47,clear sky
255,Okitipupa,NG,6.5047,4.7839,77.07,92,100,1.66,overcast clouds
256,Eenhana,NA,-17.4667,16.3333,84.61,16,62,2.95,broken clouds
257,Carstairs,CA,51.5668,-114.102,23.85,72,10,8.55,clear sky
258,Zhuanghe,CN,39.7008,122.9911,45.46,35,100,0.45,light rain
259,Matara,LK,5.9485,80.5353,86.16,61,7,14.74,clear sky
260,Jibuti,DJ,11.5,42.5,80.02,35,0,15.08,clear sky
261,Lekoni,GA,-1.5843,14.2591,75.52,82,54,5.35,light rain
262,Suoyarvi,RU,62.0833,32.35,30.76,86,100,6.87,overcast clouds
263,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,88,75,18.75,broken clouds
264,Chuy,UY,-33.6971,-53.4616,57.04,80,0,6.85,clear sky
265,Sagua De Tanamo,CU,20.5819,-75.2414,72.61,91,100,2.64,overcast clouds
266,Barrow,US,71.2906,-156.7887,10.42,79,90,5.75,overcast clouds
267,Zarubino,RU,42.63,131.0922,38.05,67,92,4.21,overcast clouds
268,Rocha,UY,-34.4833,-54.3333,54.39,84,0,4.12,clear sky
269,Touros,BR,-5.1989,-35.4608,79.7,75,100,13.71,overcast clouds
270,Lavrentiya,RU,65.5833,-171.0,4.69,69,35,6.08,scattered clouds
271,Richards Bay,ZA,-28.783,32.0377,66.6,73,94,2.8,overcast clouds
272,Angleton,US,29.1694,-95.4319,58.95,85,90,3.44,overcast clouds
273,Darhan,MN,49.4867,105.9228,21.07,73,100,8.34,overcast clouds
274,Lyubech,UA,51.7026,30.6569,48.06,71,11,22.39,few clouds
275,Sidi Bin Nur,TN,35.5333,10.9167,62.51,72,54,10.87,broken clouds
276,Ca Mau,VN,9.1769,105.15,84.9,74,100,4.7,overcast clouds
277,Yayva,RU,59.3303,57.2641,29.17,94,100,8.55,light snow
278,Flin Flon,CA,54.7682,-101.865,23.81,91,100,9.01,overcast clouds
279,Xuddur,SO,4.1213,43.8894,83.79,49,6,12.82,clear sky
280,Vardo,NO,70.3705,31.1107,35.19,81,100,21.77,light rain
281,Thunder Bay,CA,48.4001,-89.3168,37.38,61,90,10.36,overcast clouds
282,Kavieng,PG,-2.5744,150.7967,83.89,67,32,2.82,scattered clouds
283,Bonavista,CA,48.6499,-53.1147,54.12,96,100,16.93,moderate rain
284,Tonantins,BR,-2.8731,-67.8022,72.93,98,98,2.46,overcast clouds
285,Mapimi,MX,25.8167,-103.85,55.31,65,0,3.65,clear sky
286,Adrar,MR,20.5022,-10.0711,72.14,27,100,11.05,overcast clouds
287,Havre,FR,49.5833,0.3333,46.8,93,90,2.3,overcast clouds
288,Gbadolite,CD,4.2833,21.0167,81.1,72,35,2.08,scattered clouds
289,Nakamura,JP,32.9833,132.9333,63.72,65,0,2.86,clear sky
290,Komsomolskiy,UZ,40.4272,71.7189,45.32,39,0,2.3,clear sky
291,Maragogi,BR,-9.0122,-35.2225,76.69,78,66,7.0,broken clouds
292,Zhangye,CN,38.9342,100.4517,33.8,46,100,16.17,overcast clouds
293,Angoche,MZ,-16.2325,39.9086,86.65,54,0,9.46,clear sky
294,The Pas,CA,53.8251,-101.2541,21.22,93,75,16.11,broken clouds
295,Ambon,ID,-3.6954,128.1814,87.94,66,40,6.91,light rain
296,Banda Aceh,ID,5.5577,95.3222,85.62,69,37,14.92,scattered clouds
297,Hyeres,FR,43.1167,6.1167,54.68,80,0,8.05,clear sky
298,Guaratuba,BR,-25.8828,-48.5747,71.8,87,100,7.78,overcast clouds
299,Tura,IN,25.5198,90.2201,76.75,52,7,4.12,clear sky
300,Ekibastuz,KZ,51.6667,75.3667,21.15,56,53,17.43,broken clouds
301,Talnakh,RU,69.4865,88.3972,-15.92,95,23,7.18,few clouds
302,Peniche,PT,39.3558,-9.3811,58.93,72,100,20.36,overcast clouds
303,Ancud,CL,-41.8697,-73.8203,45.93,93,21,1.72,few clouds
304,Gizo,SB,-8.103,156.8419,82.65,71,100,3.85,light rain
305,Xining,CN,36.6167,101.7667,39.52,35,9,7.4,clear sky
306,Kamen-Rybolov,RU,44.7481,132.0403,29.93,72,100,4.61,overcast clouds
307,Bandarbeyla,SO,9.4942,50.8122,81.86,59,80,13.35,broken clouds
308,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,14.97,scattered clouds
309,Kaduna,NG,10.5222,7.4383,73.9,24,43,8.41,scattered clouds
310,Lubao,PH,14.9167,120.55,91.47,50,86,6.29,overcast clouds
311,Nevsehir,TR,38.9167,34.6667,40.21,81,75,8.05,broken clouds
312,Gornopravdinsk,RU,60.05,69.9,24.06,90,100,10.2,overcast clouds
313,Valdivia,CL,-39.8142,-73.2459,46.49,99,20,2.53,few clouds
314,Ponta Delgada,PT,37.7333,-25.6667,63.32,72,20,9.22,few clouds
315,Kedrovyy,RU,56.1667,91.8167,9.01,87,100,10.85,overcast clouds
316,Ribeira Grande,PT,38.5167,-28.7,65.84,79,100,24.74,overcast clouds
317,Hamilton,US,39.1834,-84.5333,34.88,74,90,1.01,overcast clouds
318,Bereda,ES,43.2686,-7.5406,43.88,91,1,1.3,clear sky
319,Anloga,GH,5.7947,0.8973,79.02,77,16,4.07,few clouds
320,Mangrol,IN,21.1167,70.1167,85.95,58,95,5.1,overcast clouds
321,Itambacuri,BR,-18.0311,-41.685,71.42,97,100,2.93,heavy intensity rain
322,Tigil,RU,57.8,158.6667,25.79,74,43,14.99,scattered clouds
323,Clyde River,CA,70.4692,-68.5914,12.43,85,100,23.02,light snow
324,Mae Sai,TH,20.4335,99.8762,88.45,44,96,2.77,overcast clouds
325,Anadyr,RU,64.75,177.4833,-10.7,84,0,15.66,clear sky
326,Tokmak,UA,47.2514,35.7058,44.04,85,99,15.66,overcast clouds
327,Isakly,RU,54.1333,51.5333,30.67,96,100,16.49,light snow
328,Idar-Oberstein,DE,49.7,7.3,46.62,88,10,1.43,clear sky
329,Margate,GB,51.3813,1.3862,51.31,89,30,1.99,scattered clouds
330,Port Hardy,CA,50.6996,-127.4199,44.6,93,90,3.44,light rain
331,Caravelas,BR,-17.7125,-39.2481,76.06,87,100,9.33,overcast clouds
332,Umm Lajj,SA,25.0213,37.2685,76.62,50,100,3.09,overcast clouds
