City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
106,Itarema,BR,80.26,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
107,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
110,Bengkulu,ID,84.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
116,Port Blair,IN,84.25,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
122,Mogadishu,SO,84.07,broken clouds,2.0371,45.3438,Hotel Juba
123,Souillac,MU,82.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
124,Basoda,IN,80.22,overcast clouds,23.85,77.9333,Sahu Dharamshala
125,Bandundu,CD,78.17,overcast clouds,-3.3167,17.3667,Coja Color
131,Buala,SB,81.48,light rain,-8.145,159.5921,Maringe Lagoon Lodge
132,Maraba,BR,78.98,clear sky,-5.3686,-49.1178,Hotel Del Principe
139,Nizwa,OM,77.9,clear sky,22.9333,57.5333,Orient Apartments
143,Busia,UG,81.18,overcast clouds,0.4544,34.0758,Chefwest Hotel
149,Ratnagiri,IN,88.72,overcast clouds,16.9833,73.3,Hotel Landmark
152,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
156,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
157,Wanning,CN,80.55,overcast clouds,18.8003,110.3967,Paradise Hotel
164,Saint-Philippe,RE,85.48,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
165,Butaritari,KI,82.42,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
168,Road Town,VG,78.01,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
175,Singaparna,ID,83.84,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
180,Honiara,SB,80.2,overcast clouds,-9.4333,159.95,Heritage Park Hotel
190,Tabou,CI,79.05,light rain,4.423,-7.3528,hotêl doufoulougou
191,Balsas,BR,75.54,overcast clouds,-7.5325,-46.0356,Novo Hotel
194,Parrita,CR,78.51,few clouds,9.5201,-84.3225,Beso del Viento
196,Byron Bay,AU,86.11,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
198,Machilipatnam,IN,86.2,scattered clouds,16.1667,81.1333,R&B Bungalow
199,Victoria,HK,80.65,clear sky,22.2855,114.1577,Mini Hotel Central
200,Eyl,SO,85.24,overcast clouds,7.9803,49.8164,Amiin Hotel
202,Dakoro,NE,75.49,clear sky,14.5106,6.765,Shagon mai liverpool
203,Baringo,KE,82.98,few clouds,0.4667,35.9667,Khoisang Hostels
205,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Bungalow 63
207,San Rafael Del Sur,NI,76.8,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
214,Abu Zabad,SD,80.76,clear sky,12.35,29.25,حامد محمد نور
223,Sabang,ID,82.38,broken clouds,5.8933,95.3214,Hotel Citra
235,Lorengau,PG,84.65,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
237,Cockburn Town,TC,80.51,few clouds,21.4612,-71.1419,Osprey Beach Hotel
241,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
250,Pathalgaon,IN,79.25,broken clouds,22.5667,83.4667,Queens Park Marriage Garden
252,Mawlaik,MM,86.77,scattered clouds,23.6333,94.4167,AKZ Guest House
253,Gushikawa,JP,78.39,clear sky,26.3544,127.8686,Kirari Guest House
255,Okitipupa,NG,77.07,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
259,Matara,LK,86.16,clear sky,5.9485,80.5353,Amaloh Boutique Resort
260,Jibuti,DJ,80.02,clear sky,11.5,42.5,Orchid Main Camp Goubet
261,Lekoni,GA,75.52,light rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
269,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
276,Ca Mau,VN,84.9,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
279,Xuddur,SO,83.79,clear sky,4.1213,43.8894,Banjanay Hotel
282,Kavieng,PG,83.89,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
288,Gbadolite,CD,81.1,scattered clouds,4.2833,21.0167,Zenic
291,Maragogi,BR,76.69,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
293,Angoche,MZ,86.65,clear sky,-16.2325,39.9086,Guest House HESADA
295,Ambon,ID,87.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
296,Banda Aceh,ID,85.62,scattered clouds,5.5577,95.3222,Sulthan Hotel International
299,Tura,IN,76.75,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
304,Gizo,SB,82.65,light rain,-8.103,156.8419,Imagination Island
307,Bandarbeyla,SO,81.86,broken clouds,9.4942,50.8122,JABIR HOTEL
308,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
319,Anloga,GH,79.02,few clouds,5.7947,0.8973,Pin Drop Hotel
320,Mangrol,IN,85.95,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
324,Mae Sai,TH,88.45,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
331,Caravelas,BR,76.06,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
332,Umm Lajj,SA,76.62,overcast clouds,25.0213,37.2685,Moon light Furnished Units
336,Boca Raton,US,76.01,overcast clouds,26.3587,-80.0831,Ocean Lodge Florida
339,Cap Malheureux,MU,82.89,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
340,Bhinmal,IN,82.45,broken clouds,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
342,Begampur,IN,85.91,clear sky,22.7417,88.2433,Soumen Das
345,Nouakchott,MR,75.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN
346,Arlit,NE,79.39,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
347,Mana,GF,76.32,overcast clouds,5.6592,-53.7767,LE SAMANA
348,Manavalakurichi,IN,86.09,scattered clouds,8.1333,77.3,Muttom beach west
349,Sao Filipe,CV,77.58,overcast clouds,14.8961,-24.4956,Hotel Xaguate
352,Coruripe,BR,76.03,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
358,Sao Jose Da Coroa Grande,BR,77.18,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
360,Sur,OM,79.86,clear sky,22.5667,59.5289,Sur Plaza Hotel
364,Vaitape,PF,80.13,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
365,Meulaboh,ID,84.04,scattered clouds,4.1363,96.1285,Kost Pria
368,Kudat,MY,87.73,few clouds,6.8837,116.8477,Dream Garden Hotel
369,Port-Gentil,GA,78.76,light rain,-0.7193,8.7815,Fengshui Residence
372,Vengurla,IN,83.35,light rain,15.8667,73.6333,Tripvillas @ Golven Resorts
376,Isangel,VU,80.71,moderate rain,-19.55,169.2667,Tanna Lodge
377,Oranjestad,AW,80.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
378,Contai,IN,83.52,clear sky,21.7786,87.7536,PATHFINDER
379,Omboue,GA,77.56,overcast clouds,-1.5746,9.2618,Hotel Olako
381,Bonthe,SL,77.58,light rain,7.5264,-12.505,Bonthe Holiday Village
383,Dzaoudzi,YT,87.69,broken clouds,-12.7887,45.2699,Le Rocher
