City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sitka,US,2021-11-18 04:26:08,57.0531,-135.33,39.09,87,90,12.66
68,Baracoa,CU,2021-11-18 04:26:09,20.3467,-74.4958,79.09,79,62,13.02
69,Tuktoyaktuk,CA,2021-11-18 04:26:09,69.4541,-133.0374,-2.2,84,75,13.8
70,Arraial Do Cabo,BR,2021-11-18 04:26:09,-22.9661,-42.0278,71.83,93,71,26.06
71,Ketchikan,US,2021-11-18 04:26:10,55.3422,-131.6461,39.67,93,75,4.61
72,Hami,CN,2021-11-18 04:26:11,42.8,93.45,38.03,41,100,13.58
73,Georgetown,MY,2021-11-18 04:26:11,5.4112,100.3354,82.35,78,40,3.44
74,Geraldton,AU,2021-11-18 04:26:12,-28.7667,114.6,75.61,53,40,16.11
75,Hilo,US,2021-11-18 04:26:12,19.7297,-155.09,81.28,94,90,8.05
76,Syracuse,IT,2021-11-18 04:26:13,37.0881,15.2792,54.99,78,0,8.01
77,Khatanga,RU,2021-11-18 04:26:13,71.9667,102.5,-29.78,98,55,3.47
78,Saurimo,AO,2021-11-18 04:26:14,-9.6608,20.3916,64.15,98,100,3.47
79,Avezzano,IT,2021-11-18 04:26:15,42.0402,13.4388,50.94,88,100,3.0
80,Torbay,CA,2021-11-18 04:26:15,47.6666,-52.7314,35.58,81,40,18.41
81,Bunda,TZ,2021-11-18 04:26:16,-2.05,33.8667,68.43,63,100,4.56
82,Port Elizabeth,ZA,2021-11-18 04:26:16,-33.918,25.5701,61.09,72,40,11.5
83,Darnah,LY,2021-11-18 04:26:17,32.767,22.6367,64.36,63,92,6.02
84,Lebu,CL,2021-11-18 04:26:17,-37.6167,-73.65,55.47,82,92,11.83
85,Antalaha,MG,2021-11-18 04:26:17,-14.9003,50.2788,76.6,72,98,5.44
86,Wuhu,CN,2021-11-18 04:26:18,31.3366,118.3755,66.11,54,1,5.59
87,Yangambi,CD,2021-11-18 04:26:18,0.8102,24.4336,69.13,99,100,2.15
88,Paamiut,GL,2021-11-18 04:26:19,61.994,-49.6678,16.41,84,17,8.19
89,Cape Town,ZA,2021-11-18 04:23:52,-33.9258,18.4232,58.1,59,20,6.91
90,Bra,IT,2021-11-18 04:26:19,44.703,7.8556,51.35,87,86,0.51
91,Iqaluit,CA,2021-11-18 04:26:20,63.7506,-68.5145,11.93,79,90,2.3
92,Olafsvik,IS,2021-11-18 04:27:21,64.8945,-23.7142,36.66,56,99,11.99
93,Sain Alto,MX,2021-11-18 04:27:21,23.5833,-103.25,57.69,32,2,5.82
94,Thompson,CA,2021-11-18 04:26:20,55.7435,-97.8558,17.76,86,90,12.66
95,Mar Del Plata,AR,2021-11-18 04:23:22,-38.0023,-57.5575,55.09,82,53,1.99
96,Aksay,RU,2021-11-18 04:27:22,47.26,39.87,34.25,40,96,8.01
97,Barrow,US,2021-11-18 04:27:22,71.2906,-156.7887,8.62,78,1,11.5
98,Mount Isa,AU,2021-11-18 04:27:23,-20.7333,139.5,98.37,15,5,10.36
99,San Juan,AR,2021-11-18 04:27:23,-31.5375,-68.5364,68.77,29,0,5.23
100,Noumea,NC,2021-11-18 04:27:23,-22.2763,166.4572,80.58,78,38,17.13
101,Prince Rupert,CA,2021-11-18 04:27:24,54.3161,-130.3201,46.09,90,90,10.36
102,Severo-Kurilsk,RU,2021-11-18 04:27:24,50.6789,156.125,34.11,63,51,12.75
103,Batu Gajah,MY,2021-11-18 04:27:24,4.4692,101.0411,83.95,78,20,1.14
104,Comodoro Rivadavia,AR,2021-11-18 04:27:25,-45.8667,-67.5,58.86,58,75,14.97
105,Belyy Yar,RU,2021-11-18 04:27:26,53.6039,91.3903,28.85,56,0,11.18
106,San Luis,AR,2021-11-18 04:27:26,-33.295,-66.3356,61.09,40,0,13.67
107,Ugoofaaru,MV,2021-11-18 04:27:26,5.6667,73.0,82.29,75,100,16.4
108,Ahipara,NZ,2021-11-18 04:27:27,-35.1667,173.1667,63.9,56,0,10.02
109,Port Alfred,ZA,2021-11-18 04:27:27,-33.5906,26.891,61.23,79,96,25.57
110,Tasiilaq,GL,2021-11-18 04:27:27,65.6145,-37.6368,28.56,68,97,4.23
111,Saint-Philippe,RE,2021-11-18 04:27:28,-21.3585,55.7679,81.95,75,28,13.29
112,Egvekinot,RU,2021-11-18 04:27:28,66.3167,-179.1667,-2.25,84,2,7.25
113,Chapleau,CA,2021-11-18 04:27:29,47.8405,-83.4034,28.98,93,75,6.06
114,Harper,LR,2021-11-18 04:27:29,4.375,-7.7169,77.67,86,12,3.38
115,Qaqortoq,GL,2021-11-18 04:27:29,60.7167,-46.0333,27.1,79,100,4.07
116,Astoria,US,2021-11-18 04:27:30,46.1879,-123.8313,48.85,61,1,5.01
117,La Reforma,MX,2021-11-18 04:27:30,25.0833,-108.05,71.89,55,75,6.08
118,Portland,US,2021-11-18 04:25:07,45.5234,-122.6762,49.93,55,75,1.99
119,Dingle,PH,2021-11-18 04:27:30,10.9995,122.6711,85.71,64,28,7.61
120,Pevek,RU,2021-11-18 04:27:31,69.7008,170.3133,13.01,71,59,17.09
